menu_name,calories,protein_g,fat_g,carbs_g
ヤンニョムから揚げ丼アタマの大盛,"1,241",42.1,59.1,134.1
ヤンニョムから揚げ丼大盛,"1,339",43.8,59.7,155.8
ヤンニョムから揚げ丼特盛,"1,537",52.5,74.2,162.7
にんにくマシマシから揚げ超特盛丼（マヨソース含む）,"2,123",72.4,101.1,228.9
から揚げ定食並盛,"1,168",42.2,59,115.9
から揚げ定食大盛,"1,366",50.8,73.4,123
から揚げ定食特盛,"1,563",59.5,87.8,130.1
から揚げお新香定食,953,34.1,41.3,111.2
タルタル南蛮から揚げ定食並盛,"1,454",44.6,84.6,127.5
タルタル南蛮から揚げ定食大盛,"1,651",53.2,99,134.6
タルタル南蛮から揚げ定食特盛,"1,849",61.9,113.4,141.6
ヤンニョムから揚げ定食並盛,"1,238",43.2,59.6,131
ヤンニョムから揚げ定食大盛,"1,435",51.9,74,138
ヤンニョムから揚げ定食特盛,"1,633",60.6,88.5,145
から揚げ1個,197,8.7,14.4,7
タルタルソース,251,1.8,25.9,2.7
ヤンニョムソース,64,0.9,0.1,15
ハニーマスタードソース,81,1,0.6,18
ピリ辛青ねぎ,32,1.9,0.6,5.2
スパイシーカレー並盛,460,7.1,6.6,96
スパイシーカレーご飯増量,585,9.1,6.8,125.7
牛スパイシーカレー並盛,602,14,18.1,98.8
牛スパイシーカレーご飯増量,727,16,18.3,128.5
肉だく牛スパイシーカレー並盛,741,20.6,29.5,101.2
肉だく牛スパイシーカレーご飯増量,866,22.6,29.8,130.9
牛カルビスパイシーカレー並盛,765,21.2,30.9,101.8
牛カルビスパイシーカレーご飯増量,890,23.2,31.2,131.4
牛×牛カルビスパイシーカレー並盛,906,28,42.4,104.5
牛×牛カルビスパイシーカレーご飯増量,"1,031",30,42.6,134.2
から揚げスパイシーカレー並盛,854,24.3,35.4,110
から揚げスパイシーカレーご飯増量,979,26.3,35.7,139.7
牛魯珈カレー並盛,618,14.9,16.6,106.9
牛魯珈カレーご飯増量,743,16.9,16.9,136.6
肉だく牛魯珈カレー並盛,757,21.5,28.1,109.3
肉だく牛魯珈カレーご飯増量,882,23.5,28.3,139
お子様セットミニ牛丼,352,9,14,49.5
お子様セットミニカレー,271,5,2,59.9
お子様セットウィンナー2本,86,3.2,6.1,4.4
お子様セットトマトケチャップ１P,11,0.1,0.1,2.5
お子様セットふりかけ（たまごふりかけ）１袋,11,0.6,0.5,1
お子様セットお子様ジュース（リンゴジュース）1個,58,0.1,0,14.4
お子様セットプチゼリー（りんご・みかん・ぶどう）1個,11,0,0,3
チーズ牛サラダ※ドレッシングは含みません,495,33.6,36.1,9.1
キムチ牛サラダ※ドレッシングは含みません,419,27.1,28.5,13.6
生野菜サラダ,16,0.7,0.1,3.1
ポテトサラダ,88,1.7,4.8,9.7
ご飯並盛,343,5.5,0.7,81.6
ご飯大盛,468,7.5,0.9,111.3
みそ汁,20,1.3,0.6,2.5
あさり汁,53,7.3,1.2,2.8
豚汁,143,5,7.7,13.8
玉子,76,6.2,5.2,0.2
半熟玉子,76,6.2,5.2,0.2
ねぎ玉子,103,7,5.5,5.8
ねぎラー油,110,1.5,8.5,7.2
チーズ,103,7.4,7.9,0.6
のり,5,0.6,0.1,0.6
納豆（タレ・カラシ・ネギ含む）,99,7.8,4.7,7.1
鮭,133,13.9,8.5,0.1
塩さば（単品）,185,10.7,12,0
肉だく（牛小鉢）,142,6.8,11.5,2.8
ねぎだく,48,1.7,0.7,8.6
ねぎ塩だれ（単品）,40,1.5,1.5,5.4
冷汁,137,8.6,7.5,9
とろろ（単品）,86,3.6,0.4,18.1
お新香,13,0.7,0.1,2.6
キムチ,26,0.9,0.2,5.1
紅生姜,1,0,0,0.2
焙煎ごまドレッシング,49,0.3,4.5,1.7
ノンオイル和風ドレッシング,6,0.3,0,1.2
マヨソース,27,0.1,2.6,0.6
ウスターソース,11,0.1,0,2.7
しょうゆ,8,0.7,0,1.3
山椒,1,0,0,0.2
テイクアウト用 七味,1,0,0,0.1
テイクアウト用 紅生姜,1,0,0,0.2
