menu_name,calories,protein_g,fat_g,carbs_g
カレー並盛,680,13.3,16.8,118.8
カレー大盛,1017,19.8,25.3,177.8
カレーメガ,1365,26.6,33.7,238.9
カレーキング,1910,36.8,42.8,344.6
牛カレーミニ,621,18.2,24.8,81.4
牛カレー並盛,889,23.7,32.9,124.5
牛カレー大盛,1226,30.2,41.4,183.5
牛カレーメガ,1574,37,49.8,244.6
牛カレーキング,2119,47.2,58.9,350.3
とろ～りチーズカレーミニ,575,18.1,20.9,78.7
とろ～りチーズカレー並盛,842,23.6,29,121.8
とろ～りチーズカレー大盛,1180,30.1,37.5,180.7
とろ～りチーズカレーメガ,1528,37,45.9,241.9
とろ～りチーズカレーキング,2073,47.1,55,347.6
おんたまカレーミニ,496,14.7,14.4,75.9
おんたまカレー並盛,764,20.2,22.5,119
おんたまカレー大盛,1101,26.7,31,177.9
おんたまカレーメガ,1449,33.5,39.4,239.1
おんたまカレーキング,1995,43.6,48.5,344.8
チーズおんたまカレーミニ,659,25,26.7,78.8
チーズおんたまカレー並盛,926,30.5,34.8,121.9
チーズおんたまカレー大盛,1264,37,43.3,180.9
チーズおんたまカレーメガ,1612,43.8,51.6,242.1
チーズおんたまカレーキング,2157,53.9,60.7,347.8
おんたま牛カレーミニ,705,25.1,30.5,81.6
おんたま牛カレー並盛,973,30.6,38.6,124.7
おんたま牛カレー大盛,1310,37.1,47.1,183.6
おんたま牛カレーメガ,1658,43.9,55.5,244.8
おんたま牛カレーキング,2204,54,64.6,350.5
チーズ牛カレーミニ,784,28.5,37,84.4
チーズ牛カレー並盛,1051,34,45.1,127.5
チーズ牛カレー大盛,1389,40.5,53.6,186.4
チーズ牛カレーメガ,1737,47.4,62,247.6
チーズ牛カレーキング,2282,57.5,71.1,353.3
ソーセージカレーミニ,642,20.2,27.7,79.7
ソーセージカレー並盛,909,25.7,35.8,122.8
ソーセージカレー大盛,1247,32.1,44.3,181.7
ソーセージカレーメガ,1595,39,52.7,242.9
ソーセージカレーキング,2140,49.1,61.8,348.6
ほうれん草カレーミニ,425,9.9,8.7,77.6
ほうれん草カレー並盛,693,15.4,16.8,120.8
ほうれん草カレー大盛,1030,21.9,25.3,179.7
ほうれん草カレーメガ,1378,28.7,33.7,240.9
ほうれん草カレーキング,1924,38.8,42.8,346.6
チーズソーセージカレーミニ,802,30.4,39.7,82.6
チーズソーセージカレー並盛,1069,35.9,47.8,125.7
チーズソーセージカレー大盛,1407,42.4,56.3,184.6
チーズソーセージカレーメガ,1754,49.2,64.7,245.8
チーズソーセージカレーキング,2300,59.3,73.8,351.5
チーズほうれん草カレーミニ,588,20.2,20.9,80.6
チーズほうれん草カレー並盛,855,25.7,29,123.7
チーズほうれん草カレー大盛,1193,32.2,37.5,182.7
チーズほうれん草カレーメガ,1541,39,45.9,243.8
チーズほうれん草カレーキング,2086,49.1,55,349.5
肉2倍牛カレーミニ,830,28.5,40.8,87.1
肉2倍牛カレー並盛,1098,34,48.9,130.2
肉2倍牛カレー大盛,1435,40.5,57.4,189.2
肉2倍牛カレーメガ,1783,47.3,65.8,250.3
肉2倍牛カレーキング,2328,57.5,74.9,356
すき家の特製辛口ソース,14,0.2,0.7,1.6
旨だしとりそぼろ丼ミニ,614,29,13.7,92.9
旨だしとりそぼろ丼並盛,683,30.2,13.9,108.5
旨だしとりそぼろ丼大盛,822,32.5,14.4,139.8
旨だしとりそぼろ丼特盛,999,47.8,20.8,152.7
まぐろたたき皿並盛,177,21.9,8.7,2.7
まぐろたたき丼並盛,608,29.2,10.1,100
まぐろたたき丼大盛,754,31.7,10.6,133
まぐろたたき丼特盛,922,52.6,19,133.8
まぐろユッケ丼並盛,716,36.6,16.8,104.3
まぐろユッケ丼大盛,862,39.1,17.3,137.3
まぐろユッケ丼特盛,1058,60.6,26.9,142
山かけまぐろたたき丼並盛,656,30.5,10.1,110.6
山かけまぐろたたき丼大盛,802,33,10.6,143.6
山かけまぐろたたき丼特盛,971,53.9,19,144.3
牛カルビ焼肉丼並盛,902,26.7,38.6,112.2
牛カルビ焼肉丼大盛,1042,29.1,39.2,143.5
牛カルビ焼肉丼特盛,1527,48.7,76.2,161.9
キムチ牛カルビ焼肉丼並盛,934,28.4,39,117.3
キムチ牛カルビ焼肉丼大盛,1073,30.7,39.5,148.6
キムチ牛カルビ焼肉丼特盛,1557,50.3,76.5,167
ねぎ玉牛カルビ焼肉丼並盛,1016,35.1,45.7,116.9
ねぎ玉牛カルビ焼肉丼大盛,1155,37.4,46.2,148.2
ねぎ玉牛カルビ焼肉丼特盛,1640,57.1,83.2,166.6
チーズ牛カルビ焼肉丼並盛,1066,37.1,50.9,115.3
チーズ牛カルビ焼肉丼大盛,1205,39.4,51.4,146.6
チーズ牛カルビ焼肉丼特盛,1690,59.1,88.4,164.9
にんにく牛カルビ焼肉丼並盛,946,28.8,39.3,119.4
にんにく牛カルビ焼肉丼大盛,1085,31.1,39.8,150.7
にんにく牛カルビ焼肉丼特盛,1570,50.7,76.8,169.1
スパイシーキーマカレー丼並盛,725,27.3,17.7,113.2
スパイシーキーマカレー丼大盛,864,29.6,18.2,144.5
チーズスパイシーキーマカレー丼並盛,839,34.9,26.8,113.7
チーズスパイシーキーマカレー丼大盛,978,37.2,27.3,145
牛あいがけスパイシーキーマカレー丼並盛,994,37.7,40.8,115.4
牛あいがけスパイシーキーマカレー丼大盛,1133,40,41.3,146.7
牛あいがけチーズスパイシーキーマカレー丼並盛,1110,45.2,50,116.2
牛あいがけチーズスパイシーキーマカレー丼大盛,1249,47.5,50.5,147.5
豚生姜焼き丼並盛,646,23.4,15.6,103.7
豚生姜焼き丼大盛,785,25.7,16.1,135
豚生姜焼き丼特盛,1015,42.1,30.2,144.8
マヨ豚生姜焼き丼並盛,756,23.8,27.5,103.8
マヨ豚生姜焼き丼大盛,895,26.1,28,135.1
マヨ豚生姜焼き丼特盛,1125,42.5,42.2,144.9
おんたま豚生姜焼き丼並盛,729,30.2,21.3,103.9
おんたま豚生姜焼き丼大盛,868,32.5,21.8,135.2
おんたま豚生姜焼き丼特盛,1098,48.9,35.9,144.9
うな皿並盛,255,16,17.3,8.5
うな皿特盛,509,31.9,34.6,16.8
うな丼並盛,679,23.1,18.7,104.1
うな丼大盛,826,25.5,19.2,137.2
うな丼特盛,1063,41.2,36.5,141.9
うな牛皿並盛,458,26,34.1,11.7
うな牛皿特盛,700,41.5,52,16.3
うな牛並盛,892,33.2,35.4,109.7
うな牛大盛,1040,35.7,35.9,142.9
うな牛特盛,1282,51.1,53.9,147.4
牛皿定食並盛,871,33.1,32.4,111.9
牛皿定食中盛,1014,40.2,43.5,115.7
牛皿定食２倍盛,1176,48.2,55.8,120.2
鬼おろしポン酢牛皿定食並盛,812,27.2,26.8,116.1
鬼おろしポン酢牛皿定食中盛,955,34.3,37.9,119.9
鬼おろしポン酢牛皿定食２倍盛,1117,42.3,50.2,124.4
山かけとろろ牛皿定食並盛,923,34.6,32.6,123.2
山かけとろろ牛皿定食中盛,1066,41.7,43.7,127
山かけとろろ牛皿定食２倍盛,1228,49.7,56,131.5
