menu_name,calories,protein_g,fat_g,carbs_g
アイスドルチェ 5個入りBOX 抹茶練乳ようかん,398,5.6,1.9,89.7
ふんわりスフレパンケーキ<メープルシロップ>,333,5.6,16.7,39.9
ふんわりスフレパンケーキ （メープルシロップ含まず）,293,5.6,16.7,30
メープルシロップ,40,0,0,9.9
＜冷凍＞ふんわりスフレパンケーキ,293,5.6,16.7,30
アイスドルチェ カップ ショコラ風ムースケーキ,199,2.1,10.4,24.3
ポークサンド〈米粉〉,213,5.9,7.1,31.2
ポークサンド〈米粉〉 （ケチャップ含まず）,204,5.8,7.1,29.1
トマトケチャップ（減塩タイプ）,9,0.1,0,2.1
ポークロール〈米粉〉,247,5.1,12.6,28.3
ポークロール〈米粉〉 （ケチャップ含まず）,238,5,12.6,26.2
トマトケチャップ（減塩タイプ）,9,0.1,0,2.1
ワイワイバーガーセット（バーガー単品）,311,13.6,13.1,34.6
ワイワイチーズバーガーセット（バーガー単品）,364,16.6,17.5,35
ワイワイモスチーズバーガー（バーガー単品）,378,16.9,19.5,33.9
ワイワイナゲットセット（ナゲット単品）,195,14.8,10.2,10.9
フレンチフライポテトＳ,204,2.6,8.4,29.7
くだものと野菜（１２５ml紙パック）,52,0,0,13
モーニング野菜バーガー,337,13.9,15.5,35.5
モーニング野菜チーズバーガー,390,16.9,19.9,35.9
ソイモーニング野菜バーガー,316,11.6,12.8,38.8
ソイモーニング野菜チーズバーガー,369,14.6,17.2,39.2
モーニングドッグ,267,9.5,15.4,22.4
トリプルモスバーガー,681,31.8,39.3,50.1
トリプルモスチーズバーガー,734,34.8,43.7,50.5
オニオンフライデーパック,1096,17.5,63.4,113.8
淡路島産 たまねぎバーガー 和風しょうゆ仕立て,344,14.9,15.5,36.1
淡路島産 たまねぎバーガー チーズ入り 和風しょうゆ仕立て,397,17.9,19.9,36.5
トースト 【中京エリア】,241,6.9,2.6,47.5
朝のスタートプレート 【中京エリア】,502,16.4,24.6,53.2
スタートプレート 単品,465,16.4,20.5,53.2
ポーションバター,37,0,4.1,0
トースト 【沖縄エリア】,184,4.9,2.7,33.5
朝のスタートプレート 【沖縄エリア】,446,14.5,24.7,39.4
スタートプレート 単品,409,14.5,20.6,39.4
ポーションバター,37,0,4.1,0
ストロベリージャム,27,0.1,0,6.7
ぜいたくモスバーガー,593,24.9,31.8,52.2
ぜいたくモスチーズバーガー,699,30.9,40.6,53
モス＆カフェ ベジバーガー<トマトのソース>,351,14,16.7,36.2
ソイモス＆カフェ ベジバーガー<トマトのソース>,330,11.7,14,39.5
カップサラダ 和風ドレッシング〈減塩タイプ〉,37,0.9,1,6.5
カップサラダ （ドレッシング含まず）,15,0.6,0,3.5
和風ドレッシング<減塩>,22,0.3,1,3
プレミアムスフレパンケーキ バターで味わう ふわしゅわスフレ,172,4.7,8.1,20.2
プレミアムスフレパンケーキ バターで味わう ふわしゅわスフレ＜ハニーメイプル＆ホイップ＞,269,5.1,12,35.4
ふわしゅわスフレ（単品）,172,4.7,8.1,20.2
ハニーメイプル,47,0,0,12.1
ホイップクリーム,50,0.4,3.9,3.1
<冷凍>プレミアムスフレパンケーキ バターで味わう ふわしゅわスフレ,172,4.7,8.1,20.2
アーモンドミルクの黒糖ティーラテ,177,1.1,7.8,26.3
デザートシェイク 日向夏＆レモン,312,3.6,11,49.5
ブレンドコーヒー,9,0.4,0,1.5
紅茶,2,0.2,0,0.2
カフェラテ,96,4.7,5.3,7.1
ロイヤルミルクティー,140,4.5,5,18.9
出雲抹茶ラテ,141,6.1,6.3,15.1
ホットココア,272,7.6,13.7,29.5
アイスコーヒーＳ,8,0.4,0,1.3
アイスコーヒーＭ,11,0.6,0,2
アイスコーヒーＬ,17,0.9,0,3
アイスカフェラテ,96,4.7,5.3,7.1
アイスロイヤルミルクティー,140,4.5,5,18.9
アイス出雲抹茶ラテ,213,6.8,11.5,20.5
アイスココア,322,9.2,15.6,36.6
デカフェ アイスコーヒー（カフェインレス）,5,0.1,0,1.1
デカフェ コーヒー（カフェインレス）,9,0.2,0,1.8
デカフェ カフェラテ（カフェインレス）,96,4.7,5.3,7.2
デカフェ アイスカフェラテ（カフェインレス）,96,4.7,5.3,7.2
アイスドルチェ フルーツ羊羹 ～いちご&マンゴー～,66,0.8,0,15.6
アイスドルチェ 5個入りＢＯＸ フルーツ羊羹 ～いちご&マンゴー～,331,3.8,0.2,78.2
米粉のほうじ茶コヌレ（こしあん入り）,134,1.9,2.9,25.1
米粉のゆずコヌレ（白あん入り）,134,1.8,3.2,24.4
チョコチャンクスコーン,329,4.8,15.7,41.3
バナナマフィン,245,3.6,8.5,38.5
