menu_name,calories,protein_g,fat_g,carbs_g
プレミアムローストコーヒー(M),12,0.9,0,1.8
プレミアムローストコーヒー(S),7,0.5,0,1.1
ホットティー(ストレート)(M),3,0.3,0,0.3
ホットティー(ストレート)(S),2,0.2,0,0.2
ホットティー(ミルク)(M),12,0.5,0.9,0.4
ホットティー(ミルク)(S),11,0.3,0.9,0.3
ホットティー(レモン)(M),4,0.3,0,0.6
ホットティー(レモン)(S),3,0.2,0,0.5
マックシェイク® ストロベリー(M),376,6.5,5.7,74.9
マックシェイク® ストロベリー(S),227,4.1,3.6,44.8
マックシェイク® チョコレート(M),386,7.5,6.2,75.9
マックシェイク® チョコレート(S),232,4.6,3.9,45.3
マックシェイク® バニラ(M),369,6.5,5.7,73.1
マックシェイク® バニラ(S),223,4.1,3.6,43.8
マックフィズ® パイナップルメロン,138,0.1,0.1,34.4
マックフロート® グレープ,212,2.9,2.9,43.5
マックフロート® コーク®,199,2.9,2.9,40.5
マックフロート® コーヒー,112,3.2,2.9,18
マックフロート® パイナップルメロン,244,3,3,51.3
マックフロート® メロン,212,2.9,2.9,43.5
ミニッツメイド アップル100,96,0,0,23.7
ミニッツメイド® オレンジ(S),102,1.5,0,24
ミルク,138,6.8,7.8,9.9
リキッドレモン,1,0,0,0.3
爽健美茶(L),0,0,0,0
爽健美茶(M),0,0,0,0
爽健美茶(S),0,0,0,0
野菜生活100(L),156,1.1,0.6,36.6
野菜生活100(M),121,0.8,0.5,28.3
野菜生活100(S),78,0.5,0.3,18.3
もものスムージー,179,0.1,0,44.7
もものミックスフルーツフラッペ,335,2.1,4.9,70.9
アイスアメリカーノ(L),6,0.3,0,0.9
アイスアメリカーノ(M),4,0.2,0,0.7
アイスオレンジフレーバーラテ(L),281,6.2,11.3,38.4
アイスオレンジフレーバーラテ(M),213,4.5,8.3,29.9
アイスカフェモカ(L),274,7.6,12.4,32.9
アイスカフェモカ(M),202,5.5,9.1,24.4
アイスカフェラテ(L),116,5.8,6.3,8.9
アイスカフェラテ(M),87,4.3,4.7,6.6
アイスキャラメルラテ(L),275,6.2,11.3,36.9
アイスキャラメルラテ(M),204,4.5,8.3,27.8
アイスチョコレート(L),344,9,14,45.5
アイスチョコレート(M),253,6.6,10.4,33.1
アメリカーノ(M),4,0.2,0,0.7
アメリカーノ(S),3,0.2,0,0.5
アメリカーノ(テイクアウト用)(M),6,0.3,0,0.9
アメリカーノ(テイクアウト用)(S),4,0.2,0,0.7
エクストラショット,3,0.2,0,0.5
エクストラシロップ オレンジ,49,0,0,12.3
エクストラシロップ キャラメル,35,0,0,8.7
エスプレッソ(S),3,0.2,0,0.5
エスプレッソフラッペ,236,2.5,11,31.9
オレンジフレーバーラテ(M),188,6.2,7,25
オレンジフレーバーラテ(S),124,3.7,4.2,17.6
オレンジフレーバーラテ(テイクアウト用)(M),222,7.6,8.7,28.2
オレンジフレーバーラテ(テイクアウト用)(S),155,5.1,5.7,20.6
